iter	RMSE
293	15581.91118
294	15567.05033
295	15553.5383
296	15537.2756
297	15510.97882
298	15494.74672
299	15480.39765
300	15466.03254
301	15451.41724
302	15437.92315
303	15424.79597
304	15409.38278
305	15398.51479
306	15380.97048
307	15362.80151
308	15351.17121
309	15329.04994
310	15308.08541
311	15294.11642
312	15279.92232
313	15259.48163
314	15241.82206
315	15226.09154
316	15210.79474
317	15190.18788
318	15176.52689
319	15156.94717
320	15139.00021
321	15126.39803
322	15108.97399
323	15098.32862
324	15084.36737
325	15073.02314
326	15055.40057
327	15041.73254
328	15026.38991
329	15014.31169
330	15001.70574
331	14989.69406
332	14980.68189
333	14968.56536
334	14947.14433
335	14933.42747
336	14910.05823
337	14899.85277
338	14872.0671
339	14855.15091
340	14838.13105
341	14824.11414
342	14808.67224
343	14798.39503
344	14781.93594
345	14771.09969
346	14763.76364
347	14748.39626
348	14738.637
349	14732.93291
350	14722.21793
351	14707.1241
352	14690.92602
353	14677.36454
354	14669.08326
355	14660.39273
356	14649.91506
357	14636.3338
358	14629.05163
359	14618.23875
360	14605.66224
361	14596.98105
362	14589.51066
363	14579.09155
364	14568.40492
365	14559.29919
366	14549.88171
367	14534.90585
368	14516.58105
369	14505.88583
370	14492.12582
371	14474.43886
372	14466.29941
373	14456.52707
374	14445.38362
375	14437.73052
376	14416.57561
377	14407.55613
378	14393.73195
379	14374.51481
380	14364.76114
381	14350.23418
382	14335.73878
383	14325.56702
384	14317.68599
385	14308.7485
386	14303.32534
387	14291.84332
388	14278.91006
389	14264.50187
390	14255.21477
391	14247.96774
392	14237.95029
393	14220.91853
394	14212.97769
395	14200.27128
396	14187.08534
397	14172.30157
398	14166.42342
399	14148.55958
400	14142.59362
401	14135.45062
402	14114.69275
403	14101.11268
404	14077.9367
405	14071.62143
406	14061.12048
407	14053.37531
408	14042.79134
409	14032.89887
410	14021.89173
411	14017.28734
412	14004.46514
413	13998.97657
414	13988.23893
415	13977.95061
416	13967.15407
417	13948.79518
418	13938.7221
419	13930.01519
420	13924.38153
421	13911.09601
422	13896.41681
423	13881.50308
424	13870.24926
425	13862.7896
426	13853.65778
427	13848.97174
428	13840.73071
429	13833.94336
430	13826.88732
431	13816.77948
432	13802.9608
433	13790.20945
434	13775.51324
435	13764.77066
436	13759.69233
437	13749.47258
438	13741.01818
439	13732.64414
440	13721.61223
441	13716.33134
442	13711.94235
443	13702.44588
444	13698.60726
445	13686.86602
446	13674.58775
447	13666.50747
448	13651.72288
449	13638.98902
450	13628.54141
451	13622.07257
452	13612.45444
453	13601.62901
454	13592.24731
455	13587.20905
456	13582.04352
457	13576.05359
458	13567.66342
459	13563.37719
460	13558.62859
461	13546.1734
462	13538.21775
463	13533.63909
464	13520.48884
465	13509.8174
466	13504.29599
467	13498.90484
468	13490.97448
469	13483.61949
470	13473.69045
471	13461.88512
472	13439.34729
473	13435.19569
474	13427.24542
475	13418.64218
476	13412.1989
477	13408.39263
478	13401.76659
479	13389.70144
480	13387.06441
481	13381.2108
482	13377.0886
483	13359.4677
484	13352.38275
485	13341.1469
486	13328.24914
487	13319.48217
488	13312.32473
489	13307.19151
490	13297.89833
491	13288.0628
492	13280.1409
493	13269.01655
494	13265.24192
495	13250.07313
496	13243.71548
497	13240.24348
498	13235.5089
499	13223.89501
500	13218.75908
501	13214.84748
502	13211.71675
503	13204.8256
504	13196.66509
505	13190.09152
506	13185.67079
507	13171.70082
508	13166.92309
509	13159.21304
510	13146.27419
511	13138.58923
512	13132.55831
513	13119.63145
514	13110.15284
515	13107.09064
516	13099.3764
517	13090.7105
518	13085.10406
519	13078.87538
520	13073.52923
521	13070.74083
522	13065.58799
523	13058.57005
524	13052.14137
525	13043.86273
526	13039.64248
527	13034.35484
528	13018.35913
529	13011.8489
530	13001.6595
531	12994.79885
532	12992.81175
533	12991.03117
534	12987.50368
535	12977.62003
536	12969.23143
537	12963.81863
538	12955.93975
539	12946.61202
540	12939.3321
541	12931.52185
542	12926.84313
543	12916.62713
544	12911.24978
545	12906.07446
546	12900.92637
547	12894.03577
548	12887.38579
549	12883.46243
550	12876.08997
551	12866.53402
552	12862.15142
553	12851.02634
554	12841.58578
555	12836.57944
556	12829.55446
557	12820.01485
558	12814.92212
559	12802.47507
560	12798.52821
561	12786.45755
562	12778.34202
563	12775.23003
564	12772.21797
565	12762.97883
566	12757.67532
567	12750.20792
568	12745.31058
569	12737.86494
570	12731.66071
571	12727.427
572	12720.91971
573	12711.4935
574	12705.95479
575	12695.51012
576	12688.40253
577	12679.78129
578	12671.02844
579	12661.61697
580	12652.33704
581	12649.35704
582	12643.19754
583	12640.58246
584	12633.75713
585	12629.38708
586	12624.1542
587	12615.14043
588	12608.09299
589	12603.15524
590	12594.82471
591	12586.84476
592	12578.79517
593	12571.91286
594	12565.84842
595	12556.46276
596	12548.73821
597	12547.36017
598	12540.87006
599	12534.9172
600	12522.77228
601	12513.42411
602	12510.28096
603	12505.56068
604	12503.4063
605	12493.30037
606	12486.09677
607	12479.54409
608	12474.94425
609	12468.35143
610	12460.01912
611	12455.32226
612	12448.34373
613	12443.67366
614	12434.57131
615	12431.119
616	12424.09916
617	12418.81232
618	12412.7671
619	12411.40357
620	12407.89023
621	12401.74709
622	12397.99675
623	12396.05082
624	12393.52714
625	12383.74121
626	12379.24061
627	12374.16195
628	12368.41312
629	12360.63941
630	12354.79158
631	12351.97308
632	12349.34626
633	12344.8089
634	12342.93656
635	12335.96219
636	12331.19783
637	12326.10455
638	12322.45899
639	12319.58819
640	12314.65289
641	12310.54915
642	12300.92767
643	12296.80465
644	12292.90392
645	12288.20618
646	12282.27528
647	12278.21376
648	12266.11035
649	12260.93462
650	12255.52331
651	12251.02275
652	12246.94127
653	12242.43318
654	12236.57166
655	12229.80326
656	12227.43584
657	12224.02245
658	12220.0096
659	12213.18247
660	12210.16065
661	12200.61632
662	12197.08331
663	12193.83403
664	12185.239
665	12181.8074
666	12177.31819
667	12172.77524
668	12170.05467
669	12165.77979
670	12161.51184
671	12156.88292
672	12149.89133
673	12143.43645
674	12138.64521
675	12134.24647
676	12131.15803
677	12124.13727
678	12118.31813
679	12108.64196
680	12094.42549
681	12079.40154
682	12076.12179
683	12064.31133
684	12056.6063
685	12052.86356
686	12049.91822
687	12048.35876
688	12040.71994
689	12035.49217
690	12033.65602
691	12031.31745
692	12024.02287
693	12018.31923
694	12015.17529
695	12012.34542
696	12009.12877
697	12000.25695
698	11998.82193
699	11994.8568
700	11992.28372
701	11986.38627
702	11981.7668
703	11977.85036
704	11974.47818
705	11970.21869
706	11968.72036
707	11967.00999
708	11963.77695
709	11955.78145
710	11949.16183
711	11945.40686
712	11941.47472
713	11936.60908
714	11928.4071
715	11926.26792
716	11920.54348
717	11916.88935
718	11913.34433
719	11906.73339
720	11903.10598
721	11900.71747
722	11891.05441
723	11887.81654
724	11883.87623
725	11877.96324
726	11869.64001
727	11867.12435
728	11864.23335
729	11854.52671
730	11846.6108
731	11834.19887
732	11827.01758
733	11822.7205
734	11819.09555
735	11813.22411
736	11797.96419
737	11789.64525
738	11779.43336
739	11774.91585
740	11767.43085
741	11764.24164
742	11761.95483
743	11753.64502
744	11749.23377
745	11742.25487
746	11737.58555
747	11731.2898
748	11719.76225
749	11711.60204
750	11708.6922
751	11706.20072
752	11704.08627
753	11698.18844
754	11694.25858
755	11689.37896
756	11680.39717
757	11677.68768
758	11674.23329
759	11663.01994
760	11659.78958
761	11657.67826
762	11654.74231
763	11650.13991
764	11648.12507
765	11644.58975
766	11638.53327
767	11635.97699
768	11630.47428
769	11626.86284
770	11624.07986
771	11621.57924
772	11606.72641
773	11599.86989
774	11596.64945
775	11584.74697
776	11581.76758
777	11574.70917
778	11569.72899
779	11563.10355
780	11560.14319
781	11558.12734
782	11544.76264
783	11534.81392
784	11532.5348
785	11527.04676
786	11519.98602
787	11514.04092
788	11509.83845
789	11500.17319
790	11495.77034
791	11488.82707
792	11478.92842
793	11473.50183
794	11468.41734
795	11465.08759
796	11458.60457
797	11451.59255
798	11447.22144
799	11441.17644
800	11436.64978
801	11433.51847
802	11431.15796
803	11429.11755
804	11425.61976
805	11419.19747
806	11414.72516
807	11410.10428
808	11404.33193
809	11401.15069
810	11396.15322
811	11387.58008
812	11383.70104
813	11382.77609
814	11376.67327
815	11372.72024
816	11371.59865
817	11364.20596
818	11361.94368
819	11353.12683
820	11351.9889
821	11348.512
822	11338.04264
823	11335.28391
824	11333.18775
825	11331.12923
826	11329.24351
827	11327.35262
828	11324.30446
829	11319.84567
830	11317.69853
831	11315.43113
832	11313.4425
833	11312.06425
834	11307.60541
835	11300.41331
836	11297.82836
837	11294.31889
838	11281.24558
839	11276.44384
840	11271.42856
841	11267.10533
842	11263.15995
843	11261.5141
844	11254.22719
845	11251.08154
846	11249.06533
847	11246.0225
848	11236.05128
849	11230.6197
850	11224.62513
851	11221.6245
852	11220.52435
853	11213.58853
854	11210.6241
855	11208.51736
856	11203.84875
857	11200.61652
858	11198.4038
859	11190.46742
860	11182.41387
861	11180.84119
862	11174.05041
863	11171.07147
864	11167.46945
865	11160.55758
866	11154.29601
867	11151.40063
868	11145.8407
869	11143.51734
870	11141.82263
871	11140.88143
872	11137.98217
873	11135.06071
874	11133.4495
875	11130.8657
876	11129.12715
877	11126.1809
878	11124.86826
879	11122.84897
880	11115.99539
881	11114.52944
882	11111.34858
883	11109.81784
884	11107.72517
885	11105.38691
886	11102.39691
887	11096.84049
888	11093.98019
889	11090.45946
890	11089.28568
891	11086.23706
892	11082.82655
893	11077.61297
894	11073.86908
895	11067.61338
896	11066.46437
897	11062.23911
898	11060.99457
899	11058.08774
900	11056.90848
901	11052.08566
902	11049.43491
903	11046.50586
904	11041.91597
905	11034.93174
906	11029.33157
907	11025.41178
908	11020.47412
909	11015.1414
910	11010.09851
911	10999.67373
912	10996.10996
913	10992.73633
914	10988.41491
915	10986.25276
916	10983.64942
917	10979.38391
918	10977.64503
919	10971.27689
920	10970.14264
921	10968.52297
922	10957.85122
923	10949.93395
924	10947.95969
925	10947.1711
926	10943.57195
927	10938.90075
928	10937.40973
929	10933.47563
930	10925.60185
931	10916.39115
932	10914.10895
933	10911.6565
934	10907.47965
935	10906.30814
936	10903.09101
937	10899.10195
938	10897.47937
939	10888.97038
940	10884.5504
941	10880.46482
942	10878.86962
943	10875.2837
944	10872.05034
945	10871.21283
946	10866.60651
947	10863.49541
948	10858.64711
949	10854.81543
950	10848.08193
951	10841.61162
952	10838.03451
953	10830.21656
954	10818.14789
955	10816.12865
956	10804.69887
957	10802.32608
958	10798.83419
959	10795.40068
960	10792.51054
961	10789.68008
962	10783.62606
963	10777.85159
964	10773.42364
965	10771.4176
966	10766.58159
967	10764.44625
968	10759.3764
969	10756.35776
970	10752.99331
971	10749.74169
972	10745.30533
973	10742.82923
974	10738.24079
975	10735.10219
976	10731.55877
977	10731.18164
978	10726.98857
979	10724.71222
980	10716.76181
981	10713.73362
982	10709.80363
983	10706.38938
984	10701.55341
985	10697.14363
986	10692.58865
987	10686.17835
988	10682.65607
989	10680.56566
990	10677.37652
991	10671.96238
992	10666.2448
993	10658.39466
994	10656.12753
995	10648.77422
996	10647.1891
997	10642.10099
998	10635.86331
999	10628.95428
